Rk,Player,Pos,90s,xG,xAG,Cmp%,KP,SoT%,Succ%,Tkl%,Tkl+Int,Def 3rd,Clr,CrsPA
224,Pontus Jansson,DF,5.7,0.00,0.00,81.3,0.00,0.0,100.0,66.7,1.93,0.35,4.39,0.00
225,Mathias Jensen,MF,16.7,0.05,0.12,68.1,1.38,25.0,31.3,35.6,3.59,0.90,0.78,0.36
226,Gabriel Jesus,FW,13.5,0.57,0.21,80.8,1.63,40.0,40.9,43.8,2.00,0.67,0.74,0.07
227,Raúl Jiménez,FW,3.3,0.30,0.13,65.4,0.61,44.4,50.0,0.0,0.30,0.30,0.91,0.00
228,Joelinton,MFFW,16.8,0.19,0.11,81.1,1.13,36.7,39.7,52.9,4.23,1.25,1.55,0.18
229,Ben Johnson,DF,5.5,0.00,0.04,72.9,0.55,,54.5,75.0,3.09,1.27,3.27,0.55
230,Brennan Johnson,FW,18.0,0.32,0.14,55.3,0.83,50.0,42.5,60.0,0.94,0.39,0.00,0.06
231,Curtis Jones,MFFW,2.1,0.09,0.09,85.5,0.95,25.0,50.0,50.0,2.38,0.48,0.48,0.00
232,Jorginho,MF,14.2,0.12,0.03,84.8,0.49,33.3,30.0,48.9,4.44,1.55,0.49,0.00
233,Diogo Jota,FWMF,2.2,0.35,0.38,59.4,3.18,33.3,25.0,83.3,5.45,3.18,0.45,0.45
234,James Justin,DF,13.9,0.02,0.02,81.4,0.50,0.0,21.1,75.0,2.52,0.50,3.38,0.50
235,Mathias Jørgensen,DF,8.2,0.06,0.01,80.2,0.12,33.3,0.0,53.3,3.41,0.98,3.29,0.00
236,Sasa Kalajdzic,FW,0.5,0.53,0.00,50.0,0.00,0.0,,,2.00,0.00,0.00,0.00
237,Boubacar Kamara,MF,12.4,0.02,0.02,84.2,0.32,25.0,29.4,54.5,4.03,1.37,1.45,0.00
238,Harry Kane,FW,20.8,0.57,0.16,69.3,1.68,44.0,33.3,42.9,0.38,0.00,0.53,0.19
239,N'Golo Kanté,MF,1.9,0.05,0.13,82.9,1.58,50.0,66.7,50.0,4.21,0.53,0.00,0.53
240,Michael Keane,DF,0.3,0.00,0.00,50.0,0.00,,,,0.00,0.00,13.3,0.00
241,Neeskens Kebano,FW,7.9,0.06,0.17,73.9,1.39,22.2,32.1,53.8,1.65,0.89,1.01,0.38
242,Thilo Kehrer,DF,15.0,0.03,0.01,82.8,0.13,14.3,80.0,50.0,2.93,0.87,2.60,0.00
243,Naby Keïta,MF,2.0,0.13,0.15,74.8,2.50,0.0,100.0,33.3,1.00,0.50,0.50,0.00
244,Lloyd Kelly,DF,10.0,0.01,0.01,79.2,0.30,0.0,100.0,70.0,2.50,0.90,4.80,0.20
245,Max Kilman,DF,20.0,0.03,0.00,82.9,0.00,0.0,60.0,61.1,1.95,0.90,4.50,0.00
246,Mateusz Klich,MFFW,3.1,0.05,0.06,73.0,1.61,25.0,33.3,53.8,3.87,0.97,0.32,0.00
247,Robin Koch,DF,18.5,0.02,0.01,76.3,0.05,16.7,,53.6,3.14,1.14,3.78,0.00
248,Ibrahima Konaté,DF,4.2,0.05,0.00,85.9,0.00,33.3,50.0,50.0,5.00,2.14,5.00,0.00
249,Ezri Konsa,DF,18.9,0.02,0.03,85.2,0.21,0.0,25.0,92.3,2.28,0.95,3.60,0.11
250,Kalidou Koulibaly,DF,12.4,0.06,0.03,85.6,0.40,44.4,66.7,63.2,3.47,1.37,3.31,0.00
251,Cheikhou Kouyaté,MFDF,7.8,0.04,0.08,77.2,0.64,100.0,62.5,66.7,3.33,1.28,2.56,0.00
252,Mateo Kovačić,MF,9.3,0.05,0.12,83.8,1.08,0.0,22.2,66.7,3.23,0.75,0.97,0.11
253,Emil Krafth,DF,0.0,0.00,0.00,,0,,,,0,0,0,0
254,Dejan Kulusevski,MFFW,10.7,0.11,0.26,76.8,2.34,31.6,38.9,42.1,1.78,1.03,0.37,0.56
255,Layvin Kurzawa,DF,1.5,0.00,0.00,68.3,0.00,,50.0,100.0,3.33,0.67,2.67,0.67
256,Adam Lallana,MFFW,8.0,0.11,0.12,82.6,1.75,62.5,50.0,0.0,1.38,0.75,0.13,0.13
257,Tariq Lamptey,DF,3.6,0.04,0.04,78.2,0.83,0.0,24.0,60.0,3.61,0.83,0.56,1.39
258,Manuel Lanzini,MFFW,1.4,0.04,0.00,81.9,0.00,0.0,,0.0,0.00,0.00,0.00,0.00
259,Aymeric Laporte,DF,4.2,0.04,0.03,91.7,0.71,0.0,50.0,,0.71,0.48,3.33,0.00
260,Juan Larios,DF,1.7,0.00,0.00,76.8,0.00,,75.0,100.0,5.88,3.53,2.35,0.00
261,Jamaal Lascelles,DF,1.2,0.06,0.00,80.8,0.00,0.0,,100.0,0.83,0.83,8.33,0.00
262,Roméo Lavia,MF,8.2,0.03,0.03,86.3,0.49,40.0,53.8,50.0,4.02,1.10,0.61,0.00
263,Dexter Lembikisa,DF,0.3,0.00,0.00,76.9,0.00,,,,0.00,0.00,0.00,0.00
264,Mario Lemina,MF,0.9,0.01,0.14,92.5,1.11,0.0,100.0,100.0,2.22,1.11,3.33,1.11
265,Clément Lenglet,DF,10.4,0.06,0.06,87.8,0.48,0.0,25.0,64.3,2.60,0.87,2.60,0.29
266,Bernd Leno,GK,19.0,0.00,0.00,77.3,0.05,,,0.0,0.00,0.00,0.47,0.00
267,Jefferson Lerma,MFDF,19.9,0.06,0.02,81.6,0.30,20.0,57.1,68.4,2.41,0.65,2.91,0.05
268,Jamal Lewis,DF,0.1,0.00,0.00,83.3,0.00,,,,0.00,0.00,0.00,0.00
269,Rico Lewis,DFMF,4.0,0.01,0.19,92.2,1.25,100.0,28.6,80.0,1.75,1.00,0.75,0.75
270,Keane Lewis-Potter,FWMF,3.4,0.14,0.37,57.1,1.47,28.6,30.8,,0.29,0.00,0.59,0.29
271,Victor Lindelöf,DF,4.9,0.00,0.00,93.2,0.00,,,100.0,2.04,0.61,4.08,0.00
272,Jesse Lingard,FWMF,9.6,0.11,0.07,79.3,1.04,20.0,55.6,0.0,0.73,0.21,0.42,0.10
273,Diego Llorente,DF,7.2,0.10,0.00,83.0,0.00,0.0,66.7,50.0,3.89,1.11,3.33,0.00
274,Hugo Lloris,GK,20.0,0.00,0.00,80.1,0.00,,,50.0,0.10,0.05,0.55,0.00
275,Renan Lodi,DF,10.2,0.06,0.05,71.8,0.49,0.0,40.0,61.9,3.73,1.37,2.94,0.39
276,Ruben Loftus-Cheek,MFDF,10.6,0.08,0.09,84.4,0.66,22.2,40.0,46.7,2.26,0.57,1.51,0.00
277,Sean Longstaff,MF,16.7,0.11,0.15,78.0,1.02,17.6,13.3,41.9,2.16,0.42,1.02,0.24
278,Jamal Lowe,MFFW,0.1,0.00,0.00,50.0,0.00,,,,0.00,0.00,0.00,0.00
279,Douglas Luiz,MF,14.9,0.06,0.16,82.2,1.54,35.3,35.0,59.1,3.89,1.07,0.60,0.20
280,Lyanco,DF,7.6,0.03,0.01,71.8,0.13,42.9,71.4,58.3,3.29,1.05,3.55,0.00
281,Alexis Mac Allister,MF,16.2,0.24,0.07,88.3,0.99,35.7,59.1,53.5,4.07,0.80,0.31,0.06
282,James Maddison,MFFW,12.4,0.21,0.23,77.6,2.50,32.5,25.0,42.9,2.74,0.97,0.40,0.16
283,Harry Maguire,DF,4.3,0.05,0.01,87.8,0.23,0.0,0.0,75.0,2.56,0.70,4.88,0.00
284,Riyad Mahrez,FW,9.3,0.34,0.34,84.7,2.47,40.9,31.3,53.8,1.61,0.00,0.22,0.65
285,Ainsley Maitland-Niles,MFDF,6.0,0.00,0.06,83.3,0.83,,100.0,72.7,3.83,1.00,2.33,0.50
286,Tyrell Malacia,DF,9.3,0.02,0.01,83.3,0.11,33.3,20.0,42.9,4.09,1.94,3.66,0.00
287,Orel Mangala,MF,6.6,0.05,0.01,81.0,0.30,16.7,18.8,40.0,2.42,0.91,0.45,0.00
288,Javier Manquillo,DF,0.1,0.00,0.00,57.1,0.00,,,100.0,10.0,10.0,0.00,0.00
289,Sekou Mara,FWMF,3.6,0.22,0.14,71.4,1.11,14.3,41.2,33.3,2.78,1.11,0.56,0.00
290,Solly March,FWDF,18.1,0.24,0.14,73.1,1.44,40.0,46.3,14.3,2.43,0.55,1.16,0.39
291,Emiliano Marcondes,MF,0.1,0.00,0.00,100.0,0.00,,0.0,,0.00,0.00,10.0,0.00
292,Marquinhos,MF,0.0,0.00,0.00,66.7,0,,,,0,0,0,0
293,Anthony Martial,FW,5.1,0.63,0.18,80.5,0.98,45.5,44.4,0.0,0.20,0.00,0.39,0.00
294,Martinelli,FW,17.9,0.24,0.27,72.1,1.96,34.7,43.2,28.6,1.34,0.34,0.56,0.17
295,Emiliano Martínez,GK,17.4,0.00,0.01,73.7,0.11,,,0.0,0.06,0.00,0.52,0.00
296,Lisandro Martínez,DF,15.4,0.01,0.01,86.1,0.26,25.0,100.0,80.8,3.57,1.30,4.61,0.00
297,Pape Matar Sarr,MF,1.2,0.02,0.02,92.4,0.83,0.0,0.0,50.0,8.33,3.33,2.50,0.00
298,Jean-Philippe Mateta,FW,4.8,0.32,0.13,72.8,1.04,40.0,40.0,33.3,1.04,0.21,2.08,0.00
299,Joël Matip,DF,6.1,0.00,0.00,84.4,0.00,,40.0,66.7,3.61,1.64,4.75,0.00
300,Neal Maupay,FW,7.6,0.27,0.06,75.7,0.66,40.0,33.3,100.0,0.92,0.26,0.00,0.00
301,Kevin Mbabu,DFFW,1.6,0.00,0.25,72.3,1.25,,66.7,33.3,3.75,1.25,1.88,1.88
302,Bryan Mbeumo,FW,16.7,0.28,0.12,65.7,1.14,48.5,44.4,26.7,0.90,0.30,0.60,0.36
303,John McGinn,MF,13.6,0.09,0.10,75.3,0.59,23.8,52.4,60.6,3.68,1.25,0.51,0.29
304,Scott McKenna,DF,15.2,0.00,0.05,79.9,0.46,0.0,71.4,62.5,1.45,0.46,4.87,0.07
305,Dwight McNeil,FWDF,9.9,0.07,0.13,73.4,1.21,16.7,38.2,64.3,3.54,1.62,1.21,0.30
306,Scott McTominay,MF,8.4,0.09,0.03,80.9,0.36,42.9,57.1,60.0,3.33,1.07,4.05,0.00
307,Ben Mee,DF,18.4,0.07,0.01,75.6,0.16,27.3,100.0,50.0,2.55,0.65,3.48,0.00
308,Edouard Mendy,GK,8.5,0.00,0.00,79.5,0.00,,0.0,,0.00,0.00,0.35,0.00
309,Nampalys Mendy,MF,3.6,0.03,0.00,86.3,0.00,0.0,100.0,33.3,2.22,0.56,0.00,0.00
310,Chris Mepham,DF,15.9,0.02,0.01,83.0,0.19,40.0,0.0,66.7,2.33,1.26,5.97,0.00
311,Illan Meslier,GK,19.0,0.00,0.00,59.3,0.00,,,50.0,0.11,0.05,0.79,0.00
312,Alexander Mighten,FW,0.1,0.00,0.00,100.0,0.00,,0.0,0.0,0.00,0.00,0.00,0.00
313,Luka Milivojević,MF,3.3,0.07,0.05,81.5,0.61,0.0,,100.0,4.85,1.52,2.42,0.00
314,James Milner,DFMF,6.0,0.06,0.12,73.7,1.50,16.7,50.0,23.5,3.00,0.50,1.50,0.67
315,Yerry Mina,DF,2.6,0.09,0.00,89.7,0.00,66.7,,100.0,4.23,1.54,3.46,0.00
316,Tyrone Mings,DF,18.0,0.00,0.03,83.6,0.17,0.0,25.0,57.1,2.11,0.22,4.22,0.00
317,Tyrick Mitchell,DF,14.2,0.02,0.04,71.0,0.35,33.3,46.2,45.5,3.31,1.27,2.75,0.21
318,Kaoru Mitoma,FWMF,8.3,0.20,0.31,79.5,1.57,53.3,51.4,61.5,2.53,0.96,0.72,0.00
319,Aleksandar Mitrović,FW,16.2,0.69,0.12,61.0,0.80,32.4,45.7,50.0,0.80,0.37,0.99,0.06
320,Kieffer Moore,FW,12.4,0.26,0.02,58.7,0.32,35.3,9.1,31.3,1.13,0.16,1.61,0.00
321,Andrew Moran,FW,0.1,0.00,0.00,50.0,0.00,,,,0.00,0.00,0.00,0.00
322,Álex Moreno,DF,1.9,0.11,0.16,72.7,1.58,25.0,14.3,66.7,1.58,1.05,1.58,1.05
323,Mason Mount,MFFW,16.0,0.12,0.18,75.3,1.81,31.0,53.6,59.1,2.19,0.38,0.56,0.31
324,Lucas Moura,MFDF,1.1,0.08,0.04,70.4,0.91,0.0,28.6,50.0,8.18,0.91,0.91,0.91
325,João Moutinho,MF,14.7,0.06,0.14,81.6,1.84,8.3,42.9,37.8,3.40,1.36,0.75,0.27
326,Divin Mubama,FW,0.0,0.00,0.00,100.0,0,,,,0,0,0,0
327,Mykhailo Mudryk,FW,0.4,0.86,0.00,86.7,0.00,0.0,50.0,100.0,7.50,2.50,2.50,0.00
328,Jacob Murphy,FW,6.0,0.13,0.10,62.2,1.00,41.7,0.0,44.4,1.67,0.33,0.33,0.33
329,Enock Mwepu,FWMF,2.4,0.09,0.20,78.2,1.25,50.0,0.0,75.0,4.58,0.42,0.42,0.00
330,Vitaliy Mykolenko,DFMF,18.8,0.02,0.04,76.5,0.69,33.3,40.0,60.0,2.93,1.17,2.98,0.43
331,Wilfred Ndidi,MFDF,9.7,0.02,0.00,87.3,0.10,40.0,100.0,42.1,4.54,1.55,2.16,0.00
332,Reiss Nelson,FW,0.7,0.87,0.11,89.7,2.86,100.0,100.0,100.0,1.43,1.43,0.00,1.43
333,Neto,GK,9.5,0.00,0.00,64.7,0.00,,,,0.00,0.00,0.21,0.00
334,Pedro Neto,FWMF,6.7,0.10,0.18,73.8,1.94,18.2,30.8,45.5,1.64,0.45,0.15,0.45
335,Rúben Neves,MF,19.0,0.15,0.03,82.5,0.84,19.4,46.7,47.5,4.00,1.05,2.47,0.00
336,Moussa Niakhate,DF,1.8,0.15,0.00,76.0,0.00,66.7,0.0,25.0,1.11,0.56,10.0,0.00
337,Rasmus Nissen,DF,12.6,0.03,0.06,70.2,0.56,14.3,44.4,69.4,4.76,1.59,2.86,0.16
338,Eddie Nketiah,FW,6.7,0.80,0.02,83.3,0.45,48.1,34.8,0.0,1.34,0.45,0.90,0.00
339,Matheus Nunes,MF,13.9,0.13,0.12,79.5,1.08,23.8,38.9,47.4,2.52,0.86,1.22,0.07
340,Darwin Núñez,FW,10.0,0.74,0.33,65.6,1.70,41.1,33.3,60.0,0.80,0.20,0.80,0.10
341,Ethan Nwaneri,FW,0.0,0.00,0.00,,0,,,,0,0,0,0
342,Christian Nørgaard,MF,8.7,0.09,0.10,72.6,0.57,66.7,25.0,37.5,4.83,1.15,1.95,0.00
343,Lewis O'Brien,MF,6.5,0.05,0.03,77.6,0.62,28.6,41.2,60.0,3.23,0.62,1.38,0.00
344,Angelo Ogbonna,DF,3.3,0.04,0.05,85.0,0.61,0.0,,50.0,2.12,0.61,6.97,0.00
345,Michael Olise,MFFW,13.4,0.10,0.20,70.5,2.24,21.7,36.7,48.0,2.61,0.97,0.67,0.30
346,Robin Olsen,GK,2.6,0.00,0.00,58.6,0.00,,,0.0,0.00,0.00,0.38,0.00
347,Amadou Onana,MF,15.5,0.12,0.07,84.6,0.52,10.5,34.3,79.2,4.06,1.16,1.55,0.00
348,Josh Onomah,MF,0.2,0.00,0.00,66.7,0.00,,0.0,,5.00,5.00,0.00,0.00
349,Frank Onyeka,MF,4.9,0.07,0.11,75.2,1.02,33.3,11.1,58.3,3.67,1.43,1.43,0.00
350,Mislav Oršić,MF,0.1,0.00,0.00,66.7,0.00,,,,10.0,10.0,0.00,0.00
351,Dango Ouattara,MF,1.0,0.33,0.08,71.0,1.00,20.0,0.0,100.0,2.00,0.00,2.00,1.00
352,Alex Oxlade-Chamberlain,FWMF,3.4,0.37,0.25,73.7,1.47,50.0,30.8,33.3,1.76,0.29,1.18,0.00
353,David Ozoh,FW,0.0,0.00,0.00,100.0,0,,,,0,0,0,0
354,João Palhinha,MF,19.7,0.10,0.00,81.6,0.05,29.2,31.3,61.1,5.94,1.62,1.93,0.00
355,Cole Palmer,FWMF,1.3,0.05,0.14,86.1,2.31,0.0,62.5,100.0,3.08,0.00,0.77,0.77
356,Emerson Palmieri,DFMF,4.1,0.06,0.06,79.1,0.98,33.3,16.7,66.7,1.95,0.00,0.98,0.49
357,Lucas Paquetá,MF,11.1,0.22,0.08,79.0,1.17,25.9,38.9,36.8,3.06,0.99,1.71,0.18
358,Thomas Partey,MF,15.5,0.10,0.05,85.6,0.90,10.0,61.1,48.0,3.55,0.77,1.74,0.00
359,Nathan Patterson,DFMF,11.0,0.04,0.03,76.6,0.36,12.5,42.1,71.9,4.55,2.27,3.09,0.18
360,Ben Pearson,MF,3.2,0.01,0.00,80.6,0.00,50.0,0.0,33.3,2.81,0.94,1.88,0.00
361,Andreas Pereira,MF,19.2,0.17,0.23,64.3,2.50,38.5,29.0,46.2,0.78,0.05,0.26,0.47
362,Ayoze Pérez,MFFW,4.2,0.27,0.35,69.0,2.62,25.0,28.6,42.1,3.10,1.19,0.71,0.00
363,Ivan Perišić,DFMF,14.1,0.11,0.25,65.6,1.99,16.7,33.3,55.6,2.98,1.06,1.49,1.21
364,Romain Perraud,DF,11.3,0.08,0.13,71.2,0.97,15.0,20.0,66.7,3.63,0.80,1.68,0.35
365,Kalvin Phillips,MF,0.2,0.18,0.00,80.0,0.00,0.0,,,0.00,0.00,15.0,0.00
366,Nathaniel Phillips,DF,0.7,0.06,0.00,86.6,0.00,0.0,,100.0,5.71,0.00,1.43,0.00
367,Jordan Pickford,GK,19.0,0.00,0.01,62.2,0.11,,,,0.11,0.00,0.68,0.00
368,Ethan Pinnock,DF,12.0,0.08,0.05,73.9,0.33,50.0,50.0,50.0,1.92,0.50,9.25,0.00
369,Daniel Podence,FWMF,14.5,0.21,0.13,68.2,1.93,39.4,31.7,29.4,1.79,0.76,0.41,0.34
370,Nick Pope,GK,20.0,0.00,0.00,67.6,0.00,,,33.3,0.05,0.05,0.80,0.00
371,Dennis Praet,MF,3.8,0.06,0.00,76.4,0.00,0.0,57.1,62.5,2.63,1.32,0.79,0.00
372,Isaac Price,MF,0.4,0.00,0.26,85.7,2.50,,100.0,0.0,0.00,0.00,0.00,0.00
373,Christian Pulisic,FWDF,6.8,0.19,0.08,80.8,1.62,26.7,24.2,60.0,1.91,0.44,0.59,0.00
374,Aaron Ramsdale,GK,19.0,0.00,0.00,66.3,0.00,,100.0,100.0,0.05,0.05,0.63,0.00
375,Jacob Ramsey,MFFW,13.2,0.10,0.11,82.9,1.21,58.3,26.3,56.0,4.09,1.14,0.98,0.00
376,Marcus Rashford,FW,17.9,0.42,0.13,75.1,0.78,46.9,35.8,38.5,0.95,0.22,0.28,0.06
377,David Raya,GK,20.0,0.00,0.01,64.3,0.10,,,0.0,0.00,0.00,0.30,0.00
378,Tim Ream,DF,21.0,0.01,0.00,86.2,0.00,66.7,66.7,43.8,2.33,0.43,3.38,0.00
379,Nathan Redmond,DF,0.0,0.00,0.00,0.0,0,,,,0,0,0,0
380,Harrison Reed,MF,18.2,0.07,0.10,76.3,1.10,26.7,31.3,37.5,1.87,0.38,1.32,0.38
381,Bobby Reid,FWDF,18.4,0.17,0.07,69.3,0.71,38.1,30.8,52.4,2.23,0.43,1.36,0.38
382,Declan Rice,MF,20.0,0.09,0.11,88.2,1.25,16.7,48.0,70.0,3.90,1.10,1.45,0.15
383,Chris Richards,DFMF,2.9,0.06,0.09,77.9,0.34,0.0,,60.0,3.79,1.72,7.59,0.00
384,Richarlison,MFFW,5.4,0.33,0.25,74.0,1.67,35.7,25.0,46.2,2.41,0.74,1.11,0.37
385,Jaïro Riedewald,DFFW,0.5,0.00,0.00,74.3,0.00,,,0.0,4.00,4.00,8.00,0.00
386,Matt Ritchie,FW,0.0,0.00,0.00,66.7,0,,,,0,0,0,0
387,Andrew Robertson,DF,13.7,0.03,0.24,79.1,2.12,20.0,38.1,40.0,1.68,0.44,1.82,0.66
388,Antonee Robinson,DF,17.3,0.00,0.04,74.0,0.64,0.0,38.9,81.8,2.72,1.16,2.49,0.64
389,Marc Roca,MF,15.6,0.06,0.05,77.5,1.03,40.0,68.8,33.3,3.72,0.90,0.96,0.00
390,Marek Rodák,GK,2.0,0.00,0.00,47.5,0.00,,,,0.00,0.00,0.50,0.00
391,Rodri,MF,18.3,0.13,0.12,91.3,1.15,17.9,61.5,61.3,3.50,1.09,1.20,0.05
392,Rodrigo,FWMF,14.4,0.45,0.10,70.3,0.90,36.5,37.5,40.0,0.90,0.07,1.11,0.14
393,Mads Roerslev,DF,9.0,0.03,0.11,63.3,0.78,0.0,40.0,44.4,2.22,1.33,2.78,0.44
394,Cristian Romero,DF,12.3,0.06,0.02,87.3,0.24,33.3,63.6,50.0,3.98,1.38,3.25,0.00
395,Oriol Romeu,MF,0.8,0.00,0.00,93.3,0.00,,100.0,,2.50,0.00,1.25,0.00
396,Cristiano Ronaldo,FW,5.8,0.32,0.07,74.7,1.03,24.0,44.4,50.0,0.52,0.17,1.55,0.00
397,Connor Ronan,MF,0.0,0.00,0.00,75.0,0,,,,0,0,0,0
398,Salomón Rondón,FW,1.2,0.66,0.13,75.9,1.67,25.0,100.0,,0.00,0.00,0.00,0.00
399,Joe Rothwell,MFDF,1.5,0.02,0.12,86.2,2.00,100.0,33.3,0.0,2.00,0.00,0.00,0.00
400,José Sá,GK,20.0,0.00,0.00,73.8,0.00,,100.0,,0.00,0.00,0.35,0.00
401,Allan Saint-Maximin,FW,5.4,0.18,0.23,70.5,1.67,35.7,42.6,0.0,1.11,0.00,0.00,0.37
402,Bukayo Saka,FW,18.0,0.33,0.24,76.5,2.39,34.2,31.9,25.0,1.78,0.44,0.72,0.50
403,Mohamed Salah,FW,18.7,0.48,0.20,75.4,2.03,40.0,32.3,50.0,0.75,0.11,0.16,0.16
404,William Saliba,DF,18.8,0.05,0.05,91.7,0.16,60.0,75.0,85.7,2.13,0.85,3.24,0.00
405,Mohammed Salisu,DF,19.0,0.06,0.03,73.5,0.26,21.4,77.8,73.3,3.79,1.68,5.21,0.21
406,Albert Sambi Lokonga,MF,2.2,0.00,0.01,94.3,0.45,,50.0,0.0,2.73,0.00,0.91,0.00
407,Davinson Sánchez,DF,6.2,0.05,0.01,87.8,0.16,50.0,25.0,100.0,4.03,1.61,3.87,0.16
408,Robert Sánchez,GK,19.0,0.00,0.00,74.4,0.00,,,,0.21,0.05,0.42,0.00
409,Jadon Sancho,FW,7.9,0.21,0.10,81.5,1.77,57.1,36.8,40.0,1.01,0.51,0.13,0.00
410,Morgan Sanson,MF,0.1,0.00,0.00,71.4,0.00,,,100.0,20.0,10.0,0.00,0.00
411,Pablo Sarabia,FW,0.5,0.53,0.00,63.6,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00
412,Jeremy Sarmiento,MF,1.5,0.13,0.00,77.3,0.00,33.3,50.0,50.0,4.00,2.67,0.00,0.00
413,Gianluca Scamacca,FW,10.3,0.24,0.07,66.7,1.26,33.3,42.9,100.0,1.36,0.10,0.49,0.10
414,Gustavo Scarpa,MF,1.2,0.15,0.03,67.9,0.83,20.0,100.0,100.0,2.50,1.67,0.83,0.00
415,Kevin Schade,FW,0.1,0.00,0.00,50.0,0.00,,0.0,,0.00,0.00,0.00,0.00
416,Fabian Schär,DF,18.8,0.11,0.05,75.3,0.64,33.3,30.0,81.3,2.87,0.80,4.57,0.05
417,Jeffrey Schlupp,MF,16.4,0.07,0.03,76.6,0.37,28.6,36.0,58.6,3.66,1.16,1.40,0.00
418,Nélson Semedo,DF,12.2,0.01,0.03,81.3,0.57,0.0,35.0,75.0,4.26,2.05,3.11,0.25
419,Marcos Senesi,DF,14.3,0.01,0.01,79.7,0.21,0.0,50.0,70.0,3.36,1.40,5.03,0.07
420,Ryan Sessegnon,DF,8.9,0.19,0.12,72.0,0.67,33.3,40.0,58.3,2.58,1.01,1.91,0.34
421,Luke Shaw,DF,14.7,0.04,0.11,83.5,1.09,50.0,8.3,80.0,3.27,1.09,1.77,0.61
422,Jonjo Shelvey,MF,0.4,0.00,0.00,73.1,0.00,,,0.0,2.50,2.50,0.00,0.00
423,Bernardo Silva,MFFW,14.7,0.09,0.16,86.0,1.56,25.0,43.9,44.0,2.45,0.48,0.27,0.41
424,Thiago Silva,DF,17.9,0.05,0.02,90.0,0.22,0.0,66.7,78.9,3.13,0.89,4.53,0.00
425,Ellis Simms,FW,0.2,0.00,0.00,75.0,0.00,,,,0.00,0.00,0.00,0.00
426,Luis Sinisterra,FW,5.3,0.28,0.04,82.2,0.75,30.0,44.0,58.3,3.40,0.57,0.19,0.19
427,Oliver Skipp,MF,2.2,0.03,0.11,78.0,1.36,100.0,0.0,16.7,1.36,0.45,1.82,0.45
428,Adam Smith,DF,18.2,0.02,0.04,77.4,0.38,33.3,17.6,57.6,2.53,1.04,2.36,0.55
429,Emile Smith Rowe,MFFW,0.6,0.16,0.49,86.4,5.00,50.0,66.7,50.0,1.67,1.67,3.33,0.00
430,Cédric Soares,DF,0.3,0.00,0.00,79.2,0.00,,,0.0,0.00,0.00,3.33,0.00
431,Dominic Solanke,FWMF,14.9,0.20,0.08,70.1,0.60,45.2,34.1,30.0,0.60,0.27,1.41,0.00
432,Manor Solomon,FW,0.5,0.07,0.00,69.2,0.00,100.0,0.0,100.0,2.00,2.00,0.00,0.00
433,Tomáš Souček,MF,17.3,0.15,0.04,73.9,0.46,33.3,25.0,51.5,4.62,1.79,1.85,0.12
434,Boubakary Soumaré,MF,9.3,0.00,0.01,89.0,0.22,0.0,66.7,65.2,5.38,1.51,1.72,0.00
435,Çağlar Söyüncü,DF,0.8,0.00,0.00,83.0,0.00,,,100.0,2.50,1.25,2.50,0.00
436,Djed Spence,FWDF,0.1,0.83,0.00,55.6,0.00,0.0,0.0,,0.00,0.00,0.00,0.00
437,Jack Stacey,DF,3.3,0.03,0.00,57.1,0.00,0.0,33.3,40.0,3.03,0.91,4.55,0.30
438,Junior Stanislas,MF,0.7,0.05,0.19,78.6,2.86,0.0,,,0.00,0.00,0.00,0.00
439,Jay Stansfield,FW,1.0,0.26,0.09,39.1,1.00,0.0,,0.0,1.00,0.00,1.00,0.00
440,Jack Stephens,DF,0.5,0.00,0.00,82.1,0.00,,,100.0,6.00,4.00,4.00,0.00
441,Jack Stephens,DF,2.0,0.00,0.07,90.6,0.50,,,100.0,1.50,0.50,3.50,0.00
442,Raheem Sterling,FWMF,12.4,0.27,0.24,74.4,1.77,45.0,29.8,71.4,0.81,0.16,0.24,0.48
443,John Stones,DF,13.1,0.04,0.10,94.1,0.38,14.3,57.1,66.7,1.30,0.46,1.76,0.00
444,Pascal Struijk,DF,17.7,0.06,0.13,79.5,0.68,41.7,52.9,58.8,4.58,1.64,2.60,0.17
445,Crysencio Summerville,FW,6.2,0.24,0.11,75.0,0.97,45.5,30.0,70.0,2.74,1.13,0.65,0.16
446,Sam Surridge,FW,2.7,0.62,0.02,45.8,0.37,25.0,50.0,0.0,1.48,0.37,2.22,0.00
447,Japhet Tanganga,DF,0.7,0.00,0.00,88.9,0.00,,100.0,,2.86,2.86,5.71,0.00
448,Matt Targett,DF,4.7,0.00,0.07,76.3,1.49,0.0,,53.3,3.83,1.28,2.55,0.00
449,James Tarkowski,DF,20.0,0.05,0.06,84.3,0.40,38.5,80.0,50.0,2.55,0.90,5.45,0.00
450,Marcus Tavernier,MFFW,14.3,0.12,0.15,68.4,1.05,32.0,44.1,50.0,2.03,0.98,1.40,0.21
451,Kenny Tete,DF,13.7,0.02,0.07,73.9,0.95,50.0,25.0,90.9,4.96,1.90,3.43,0.58
452,Luke Thomas,DF,7.6,0.01,0.08,79.9,0.39,0.0,42.9,50.0,4.21,0.79,2.63,0.13
453,Youri Tielemans,MF,17.3,0.13,0.19,82.0,1.33,31.8,61.1,47.4,3.47,1.04,0.81,0.40
454,Kieran Tierney,DF,5.2,0.05,0.03,73.8,0.58,40.0,0.0,80.0,3.46,0.96,2.69,0.19
